id,election,party,party_id_source,alliance,seats,vote_share,votes,person,data_source,description,comment,data_json
480,59,493,Christian Democratic Union,,1,4.19,61583,,vrk,,,
481,99,520,Galician Nationalist B,,2,0.89,220147,,epp,,,
482,554,1540,Japanese Communist Party (JCP),,9,7.25,4919187,,parline,,,
483,174,1605,V Liberal Party,,46,26.2,908472,,ejpr,,,
484,297,395,Social Democratic Party of Finland,,85,39.8,515980,,tila,,,
487,624,723,CVP,,3,13.49,839720,,ibz,,,
488,571,1435,Høyre,,37,22.2,588682,,seby,,,
489,15,585,Swedish People’s Party in Finland,,11,5.1,137330,,tila,,,
490,192,44,Komunistická strana Slovenska,,0,3.88,89418,,ssr,,,
492,396,1029,SP,,32,14.55,882200,,cevipol,,,
493,242,978,Fremskridtspartiet,,20,11,349243,,folketing,,,
494,563,590,KF Conservative People's Party,,18,10.3,344886,,ejpr,,,
495,462,675,Lietuviu Krikssioniu Demokratu Partija -- lkdp,,2,,,,essex,,,
497,321,878,Labour Party,,35,44.13,484082,,yb-nzl,,,
499,196,773,Conservative Party,,27,26.7,4397087,,bef-7,,,
500,419,984,PN,,28,47.89,68656,,md,,,
501,262,904,Socialdemokraterna,,152,42.7,2324603,,,,,
502,191,1110,PVV,,25,11.56,709758,,cevipol,,,
503,501,460,RW,,2,1.7,103087,,cevipol,,,
504,315,311,PC,,4,0.51,161030,,bef-7,,,
507,261,1088,PCI,,177,26.9,8551347,,archivio,,,
509,436,134,non-aligned,,1,1.2,1484,,,Óháð framboð á Suðurlandi (Eggert Haukdal),,
510,2,1029,SP,,14,9.55,593372,,ibz,,,
511,435,35,SPS,,51,24.4,447990,,bafs,,,
512,682,659,SDP - Liberal Alliance,,0,6.23,986292,,ukeu,,,
513,77,66,Åländsk Samling,,1,0.4,8971,,"no-2010, tila",,,"{""special_district"": true}"
514,442,969,FDF-RW,,2,7.62,414603,,ibz,,,
515,288,590,Det Konservative Folkeparti,,36,20.1,527798,,folketing,,,
517,134,756,GroenLinks,,3,8.87,404020,,"kiesraad, verk",,,
518,316,651,An Pairti Daonlathach,,4,4.68,83765,,gall-09,,,
521,483,360,AD,,0,1.46,3820,,doi,,,
524,551,1296,Pannella-Sgarbi,,0,1.88,702988,,archivio,,,
